Number,Date,City,State,Latitude,Longitude,Count
466,07/02/24,Houston,TX,29.7,-95.5,1
467,07/02/24,Freeland,PA,41,-75.9,2
468,07/02/24,Fremont,OH,41.3,-83.2,1
469,07/02/24,Midlothian,TX,32.5,-97,1
470,07/02/24,Jamestown,NY,42.1,-79.2,1
471,07/02/24,Fullerton,CA,33.9,-118,9
472,07/02/24,St Marys,GA,30.7,-81.6,1
473,07/01/24,Emigrant,MT,45.3,-110.8,1
474,07/01/24,Belgrade,ME,44.5,-69.8,1
475,07/01/24,Youngsville,LA,30.1,-92,1
476,07/01/24,Claremont,NH,43.4,-72.3,1
477,07/01/24,Dennis,MA,41.7,-70.2,1
478,07/01/24,Columbus,OH,39.9,-82.9,3
479,07/01/24,East Windsor,NJ,40.3,-74.6,1
480,07/01/24,Toronto,ON,43.6,-79.5,2
481,07/01/24,Claremont,NH,43.4,-72.3,1
482,07/01/24,Hamilton,NJ,39.4,-74.7,1
483,07/01/24,Portland,OR,45.6,-122.6,1
484,07/01/24,Jefferson,NC,36.4,-81.5,1
485,07/01/24,Claremont,NH,43.4,-72.3,1
486,07/01/24,Jericho,VT,44.5,-73,1
487,07/01/24,Claremont,NH,43.4,-72.3,1
488,07/01/24,Grand Terrace,CA,34,-117.3,1
489,07/01/24,Claremont,NH,43.4,-72.3,1
490,07/01/24,Muskegon,MI,43.2,-86.3,1
491,07/01/24,Stevensville,MD,39,-76.3,0
492,07/01/24,Milton,NH,43.5,-71,1
493,07/01/24,Claremont,NH,43.4,-72.3,1
494,07/01/24,Jefferson,NJ,41,-74.6,1
495,07/01/24,Claremont,NH,43.4,-72.3,1
496,06/30/24,Grosse Pointe Farms,MI,42.4,-82.9,1
497,06/30/24,Williston,VT,44.4,-73.1,1
498,06/30/24,Albion,IN,41.3,-85.5,1
499,06/30/24,South Glens Falls,NY,43.3,-73.6,1
500,06/30/24,Bowmanville,ON,43.9,-78.7,1
501,06/30/24,Mooreland,OK,36.4,-99.2,1
502,06/30/24,Grosse Pointe Farms,MI,42.4,-82.9,1
503,06/30/24,Newport,VT,44.9,-72.2,1
504,06/30/24,Gardiner,MT,45,-110.7,1
505,06/30/24,Gardiner,MT,45,-110.7,1
506,06/29/24,Holland,MI,42.8,-86.1,0
507,06/29/24,Holland,MI,42.8,-86.1,0
508,06/29/24,Mt Prospect,IL,42,-87.9,2
509,06/29/24,Ogden,UT,41.2,-112,1
510,06/29/24,Saskatoon,SK,52.1,-106.6,1
511,06/29/24,Portage,MI,42.2,-85.6,1
512,06/29/24,Holland,MI,42.8,-86.1,0
513,06/29/24,Saskatoon,SK,52.1,-106.6,1
514,06/29/24,Johnsburg,NY,43.5,-74,6
515,06/28/24,Easthampton,MA,42.2,-72.7,1
516,06/28/24,Sanford,ME,43.4,-70.8,1
517,06/28/24,Hebbville,NS,44.4,-64.5,1
518,06/28/24,Otsego,MN,45.3,-93.6,1
519,06/28/24,Indian Lake,NY,43.8,-74.3,4
520,06/28/24,Pittsburgh,PA,40.4,-80,1
521,06/28/24,Media,PA,39.9,-75.4,1
522,06/28/24,Murrells Inlet,SC,33.5,-79,3
523,06/28/24,Piqua,OH,40.1,-84.2,1
524,06/28/24,Ridgefield,CT,41.3,-73.5,1
525,06/27/24,Bradley Beach,NJ,40.2,-74,1
526,06/27/24,Sarnia,ON,43,-82.4,1
527,06/27/24,Hull,MA,42.3,-70.9,1
528,06/27/24,Chicago,IL,41.7,-87.6,1
529,06/27/24,Watsontown,PA,41.1,-76.9,1
530,06/27/24,Pewaukee,WI,43.1,-88.3,1
531,06/27/24,Rapid City,SD,44,-103.1,1
532,06/27/24,Moravia,NY,42.8,-76.5,1
533,06/27/24,Stillwater,OK,36.1,-97,1
534,06/27/24,Rapid City,SD,44,-103.1,1
535,06/27/24,Chicago,IL,41.7,-87.6,1
536,06/27/24,Meridian Charter Township,MI,42.7,-84.5,1
537,06/27/24,Willis,MI,42.2,-83.6,1
538,06/27/24,Blackstock,ON,44.1,-78.8,1
539,06/27/24,Bethany,CT,41.5,-73,1
540,06/26/24,Massapequa,NY,40.7,-73.5,1
541,06/26/24,Rockford,IL,42.3,-89,1
542,06/26/24,Morrisonville,NY,44.7,-73.6,1
543,06/26/24,Lake Villa,IL,42.4,-88.1,1
544,06/26/24,Chester,NS,44.6,-64.3,1
545,06/26/24,Ottawa,ON,45.4,-75.7,1
546,06/26/24,Lincoln,VT,44.1,-73,1
547,06/26/24,Seymour,TN,35.9,-83.7,1
548,06/26/24,Hillsboro,OR,45.5,-122.9,1
549,06/26/24,Waterloo,ON,43.5,-80.5,1
550,06/26/24,Mahone Bay,NS,44.5,-64.3,0
551,06/26/24,Buhler,KS,38.1,-97.8,1
552,06/26/24,Massapequa,NY,40.7,-73.5,1
553,06/26/24,Hackettstown,NJ,40.8,-74.9,1
554,06/26/24,Barrie,ON,44.4,-79.7,1
555,06/26/24,Massapequa,NY,40.7,-73.5,1
556,06/26/24,Massapequa,NY,40.7,-73.5,1
557,06/26/24,Massapequa,NY,40.7,-73.5,1
558,06/25/24,Greenville,OH,40.1,-84.6,1
559,06/25/24,Waterford,CT,41.4,-72.1,1
560,06/25/24,Ypsilanti,MI,42.2,-83.6,1
561,06/25/24,Toronto,ON,43.7,-79.3,2
562,06/25/24,Toronto,ON,43.7,-79.4,1
563,06/25/24,Yarmouth,MA,41.7,-70.2,1
564,06/25/24,Salem,WI,42.6,-88.1,2
565,06/25/24,Sterling Heights,MI,42.5,-83.1,1
566,06/25/24,Gardena,CA,33.9,-118.3,1
567,06/25/24,Batavia,NY,43,-78.3,1
568,06/25/24,Batavia,NY,43,-78.3,1
569,06/25/24,Swampscott,MA,42.5,-70.9,1
570,06/25/24,Batavia,NY,43,-78.3,1
571,06/25/24,Prior Lake,MN,44.7,-93.5,2
572,06/25/24,Easton,PA,40.7,-75.2,1
573,06/25/24,Alexander,ME,45.1,-67.5,1
574,06/25/24,Fletcher,NC,35.4,-82.5,1
575,06/25/24,Barnstead,NH,43.4,-71.2,0
576,06/25/24,Chester,WV,40.6,-80.6,1
577,06/25/24,Mifflinburg,PA,40.9,-77,1
578,06/24/24,Oshkosh,WI,44,-88.5,1
579,06/24/24,Pelham,ON,43,-79.3,2
580,06/24/24,Antioch,IL,42.5,-88.1,1
581,06/24/24,Wauwatosa,WI,43.1,-88,1
582,06/24/24,Sharon,PA,41.2,-80.5,1
583,06/24/24,Canonsburg,PA,40.3,-80.2,1
584,06/24/24,Rochester,NY,43.2,-77.7,1
585,06/24/24,Antioch,IL,42.5,-88.1,1
586,06/24/24,Antioch,IL,42.5,-88.1,1
587,06/24/24,Oak Lawn,IL,41.7,-87.8,1
588,06/24/24,Eaton Rapids,MI,42.5,-84.6,1
589,06/24/24,Canton,OH,40.8,-81.4,1
590,06/24/24,Antioch,IL,42.5,-88.1,1
591,06/24/24,Rutland Charter Twp,MI,42.5,-85.3,4
592,06/24/24,Kaysville,UT,41,-112,1
593,06/24/24,Niagara Falls,ON,43.1,-79.1,1
594,06/24/24,Antioch,IL,42.5,-88.1,1
595,06/24/24,Schoolcraft,MI,42.1,-85.6,1
596,06/24/24,Temperance,MI,41.7,-83.6,1
597,06/24/24,Asbury Park,NJ,40.2,-74,1
598,06/24/24,Marion,NY,43.1,-77.2,1
599,06/23/24,Reston,VA,38.9,-77.3,1
600,06/23/24,Whitby,ON,43.9,-78.9,2
601,06/23/24,Sparks,NV,39.6,-119.7,1
602,06/23/24,Fish Haven,ID,42,-111.4,1
603,06/23/24,Horsham,PA,40.2,-75.1,1
604,06/23/24,Bradford,NH,43.2,-72,2
605,06/23/24,Timmins,ON,48.5,-81.2,1
606,06/23/24,Horsham,PA,40.2,-75.1,1
607,06/23/24,Chadds Ford,PA,39.9,-75.6,1
608,06/23/24,Chadds Ford,PA,39.9,-75.6,1
609,06/22/24,West Porters Lake,NS,44.7,-63.3,1
610,06/22/24,Eastpointe,MI,42.5,-83,1
611,06/22/24,Toronto,ON,43.8,-79.1,1
612,06/22/24,Irwin,PA,40.3,-79.8,1
613,06/22/24,Cashiers,NC,35.1,-83.1,2
614,06/22/24,Kirkland Lake,ON,48.1,-80.1,1
615,06/22/24,West Haverstraw,NY,41.2,-74,1
616,06/22/24,Thunder Bay,ON,48.4,-89.3,0
617,06/22/24,Cumberland,ME,43.8,-70.3,1
618,06/22/24,Louisville,KY,38.2,-85.7,1
619,06/22/24,Rockbridge,OH,39.6,-82.5,1
620,06/22/24,Princeton,WV,37.3,-81.1,1
621,06/22/24,Amherst,NY,43,-78.8,1
622,06/22/24,Kokomo,IN,40.5,-86.1,1
623,06/21/24,Davenport,IA,41.6,-90.6,1
624,06/21/24,Detroit,MI,42.4,-83.3,1
625,06/21/24,Portland,OR,45.6,-122.7,1
626,06/21/24,Grosse Pointe Park,MI,42.4,-82.9,1
627,06/21/24,Dickerson,MD,39.2,-77.4,1
628,06/21/24,Rhein,SK,51.4,-102.2,1
629,06/21/24,Portland,OR,45.5,-122.7,1
630,06/21/24,Torrey,UT,38.3,-111.2,1
631,06/21/24,Torrey,UT,38.3,-111.2,1
632,06/21/24,Smith River,CA,41.9,-124.2,1
633,06/21/24,Waterford,NY,42.8,-73.7,1
634,06/21/24,Smith River,CA,41.9,-124.2,1
635,06/21/24,Thunder Bay,ON,48.4,-89.3,1
636,06/21/24,Jordan,NY,43.1,-76.5,1
637,06/21/24,Reno,NV,39.5,-119.9,1
638,06/21/24,Shuniah,ON,48.6,-88.6,3
639,06/21/24,Columbus,OH,40.1,-83.1,1
640,06/20/24,Bradenton,FL,27.5,-82.6,10
641,06/20/24,Livonia,MI,42.4,-83.4,1
642,06/20/24,Scotia,NY,42.8,-74,1
643,06/20/24,Joshua Tree,CA,34.1,-116.3,1
644,06/20/24,Portland,OR,45.6,-122.6,1
645,06/20/24,Aurora,CO,39.8,-104.8,1
646,06/20/24,Buffalo,NY,42.8,-78.7,1
647,06/20/24,Falmouth,MA,41.6,-70.5,1
648,06/20/24,Salt Lake City,UT,40.8,-111.8,1
649,06/20/24,Tamworth,NH,43.9,-71.4,1
650,06/20/24,Newberg,OR,45.3,-123,1
651,06/20/24,North Tonawanda,NY,43,-78.9,1
652,06/20/24,Grove City,OH,39.9,-83.1,1
653,06/20/24,Stevensville,MI,42,-86.5,1
654,06/19/24,Willowick,OH,41.6,-81.5,1
655,06/19/24,Spring City,PA,40.2,-75.6,1
656,06/19/24,Mentor,OH,41.7,-81.3,1
657,06/19/24,Stoke,QC,45.5,-71.8,1
658,06/19/24,Tamworth,NH,43.9,-71.3,1
659,06/19/24,Louisville,KY,38.2,-85.8,1
660,06/19/24,West Springfield,VA,38.8,-77.2,1
661,06/19/24,Bethel,ME,44.4,-70.8,1
662,06/19/24,Spring,TX,30.1,-95.4,1
663,06/19/24,Portland,OR,45.6,-122.7,1
664,06/19/24,Portland,OR,45.6,-122.7,1
665,06/19/24,Winnipeg,MB,49.9,-97.1,1
666,06/19/24,Richmond,UT,41.9,-111.8,1
667,06/18/24,Chesapeake,VA,36.8,-76.4,1
668,06/18/24,Salem,MA,42.5,-70.9,1
669,06/18/24,Eastern Passage,NS,44.6,-63.5,1
670,06/18/24,Boise,ID,43.7,-116.2,1
671,06/18/24,Old Orchard Beach,ME,43.5,-70.4,1
672,06/18/24,Blackfoot,ID,43.2,-112.3,1
673,06/18/24,Washington Court House,OH,39.5,-83.4,1
674,06/18/24,Port Hope,ON,43.9,-78.3,1
675,06/18/24,Watertown,MA,42.4,-71.2,1
676,06/18/24,Adamsville,NY,43.3,-73.4,1
677,06/17/24,Cobourg,ON,44,-78.2,1
678,06/17/24,Belfast,ME,44.4,-69,1
679,06/17/24,Pleasant Plain,OH,39.3,-84.1,1
680,06/17/24,Rochester,NY,43.2,-77.6,1
681,06/17/24,Rochester,NY,43.2,-77.6,1
682,06/17/24,Oxford,OH,39.5,-84.8,1
683,06/17/24,Temecula,CA,33.5,-117.1,1
684,06/17/24,Temecula,CA,33.5,-117.1,1
685,06/17/24,Rushville,IN,39.7,-85.4,1
686,06/17/24,Baltimore,MD,39.4,-76.7,1
687,06/17/24,St. Catharines,ON,43.2,-79.2,1
688,06/17/24,Burlington,ON,43.3,-79.8,1
689,06/17/24,Frederick,MD,39.4,-77.5,1
690,06/17/24,Marilla,NY,42.8,-78.6,1
691,06/17/24,Albany,NY,42.7,-73.7,1
692,06/17/24,Hilton Head Island,SC,32.2,-80.8,5
693,06/17/24,Webster,NY,43.2,-77.5,1
694,06/17/24,Langdon,NH,43.2,-72.3,1
695,06/17/24,Webster,NY,43.2,-77.5,1
696,06/16/24,Waterloo,QC,45.3,-72.5,1
697,06/16/24,Sarnia,ON,43,-82.4,1
698,06/16/24,Pittsburgh,PA,40.5,-80.1,1
699,06/16/24,Kawartha Lakes,ON,44.4,-78.7,1
700,06/16/24,Keene,NH,42.9,-72.3,1
701,06/16/24,Winnipeg,MB,49.9,-97,1
702,06/16/24,Ozawkie,KS,39.2,-95.5,1
703,06/16/24,Dartmouth,NS,44.7,-63.6,1
704,06/16/24,Grayling,MI,44.6,-84.7,1
705,06/16/24,Milton,ON,43.5,-79.9,1
706,06/16/24,Woodbridge,CT,41.4,-73,1
707,06/16/24,Hagerstown,MD,39.7,-77.7,1
708,06/16/24,Tupper Lake,NY,44.2,-74.3,1
709,06/16/24,Gatineau,QC,45.4,-75.8,1
710,06/16/24,Marcellus,NY,43,-76.3,1
711,06/16/24,Versailles,KY,38,-84.7,1
712,06/16/24,Portland,ME,43.7,-70.3,1
713,06/16/24,Langdon,NH,43.2,-72.4,1
714,06/15/24,Montréal,QC,45.5,-73.9,1
715,06/15/24,Bismarck,ND,46.8,-100.8,1
716,06/15/24,Hastings-On-Hudson,NY,41,-73.9,1
717,06/15/24,Bismarck,ND,46.8,-100.8,1
718,06/15/24,Milford,MA,42.1,-71.5,1
719,06/15/24,Moselle,MS,31.5,-89.3,1
720,06/15/24,Iowa City,IA,41.6,-91.6,1
721,06/15/24,Cobourg,ON,44,-78.2,1
722,06/15/24,Mesilla,NM,32.3,-106.8,1
723,06/15/24,Monroe,CT,41.3,-73.2,1
724,06/15/24,Dunrobin,ON,45.5,-76,1
725,06/15/24,Schmidt,ND,46.7,-100.8,1
726,06/15/24,North East,PA,42.3,-79.8,2
727,06/15/24,McGaheysville,VA,38.4,-78.7,1
728,06/14/24,Welland,ON,43,-79.2,1
729,06/14/24,Carol Stream,IL,41.9,-88.1,1
730,06/14/24,East Rockaway,NY,40.6,-73.7,1
731,06/14/24,Walworth,NY,43.1,-77.3,1
732,06/14/24,Munster,IN,41.6,-87.5,1
733,06/14/24,Peabody,KS,38.2,-97.1,1
734,06/14/24,East Rockaway,NY,40.6,-73.7,1
735,06/14/24,Lake Station,IN,41.6,-87.3,1
736,06/14/24,Farmington,MO,37.8,-90.4,1
737,06/14/24,National City,MI,44.3,-83.6,1
738,06/14/24,Buena Park,CA,33.8,-118,2
739,06/14/24,Discovery Bay,CA,37.9,-121.6,1
740,06/14/24,Stoughton,MA,42.1,-71.1,1
741,06/14/24,Martinsville,VA,36.7,-79.8,1
742,06/14/24,Reston,VA,38.9,-77.4,1
743,06/14/24,Sturgis,MI,41.8,-85.4,1
744,06/14/24,Sturgis,MI,41.8,-85.4,1
745,06/14/24,Winnipeg,MB,49.9,-97.1,0
746,06/14/24,Chagrin Falls,OH,41.4,-81.4,1
747,06/13/24,Saint-Calixte,QC,46,-73.8,1
748,06/13/24,Clinton Twp,MI,42.6,-83,1
749,06/13/24,Mississauga,ON,43.5,-79.6,1
750,06/13/24,Mokena,IL,41.5,-87.9,1
751,06/13/24,Pittsfield,PA,41.8,-79.4,1
752,06/13/24,Missoula,MT,46.9,-114.1,1
753,06/13/24,Lancaster,NY,42.9,-78.7,1
754,06/13/24,Trent Hills,ON,44.3,-78,1
755,06/13/24,Long Beach,CA,33.8,-118.2,1
756,06/13/24,Ashton-Sandy Spring,MD,39.1,-77,1
757,06/13/24,Oakton,VA,38.9,-77.3,1
758,06/13/24,Franklin,WI,42.9,-88,1
759,06/13/24,Minden Hills,ON,45,-78.6,1
760,06/13/24,Milwaukee,WI,43.2,-88,1
761,06/13/24,Lansing,MI,42.7,-84.5,2
762,06/13/24,Richlandtown,PA,40.5,-75.3,1
763,06/12/24,Newbury Township,OH,41.5,-81.3,1
764,06/12/24,Waterbury Center,VT,44.4,-72.7,1
765,06/12/24,Hazard,KY,37.2,-83.2,1
766,06/12/24,Ypsilanti,MI,42.2,-83.6,1
767,06/12/24,Keswick,NB,46,-66.8,1
768,06/12/24,Danville,KY,37.7,-84.8,1
769,06/12/24,Danville,KY,37.7,-84.8,1
770,06/12/24,Danville,KY,37.7,-84.8,1
771,06/12/24,Warren,ME,44.1,-69.3,1
772,06/12/24,Bountiful,UT,40.9,-111.9,0
773,06/12/24,San Leandro,CA,37.7,-122.1,1
774,06/12/24,New Cumberland,PA,40.2,-76.9,1
775,06/12/24,KCMO,MO,39.2,-94.5,1
776,06/12/24,KCMO,MO,39.2,-94.5,1
777,06/12/24,Vernal,UT,40.4,-109.5,1
778,06/12/24,Portland,OR,45.5,-122.6,1
779,06/12/24,Broadalbin,NY,43.1,-74.1,1
780,06/12/24,Manistee,MI,44.2,-86.4,2
781,06/12/24,Cathance Twp,ME,44.9,-67.4,2
782,06/12/24,Columbia,SC,34,-81,0
783,06/12/24,Grosse Pointe Park,MI,42.4,-82.9,1
784,06/12/24,Worcester,MA,42.3,-71.8,1
785,06/12/24,Winnipeg,MB,49.9,-97.3,1
786,06/12/24,Warren,MI,42.5,-83,2
787,06/12/24,Belfast,ME,44.4,-69,1
788,06/12/24,Winchendon,MA,42.7,-72,1
789,06/12/24,Salt Lake City,UT,40.8,-111.9,1
790,06/12/24,Winnipeg,MB,49.9,-97.1,1
791,06/12/24,Shannon,NC,34.9,-79.2,1
792,06/11/24,Vernal,UT,40.5,-109.5,1
793,06/11/24,Vernal,UT,40.5,-109.5,1
794,06/11/24,Newcastle,ON,43.9,-78.6,1
795,06/11/24,Bath Twp,MI,42.8,-84.4,1
796,06/11/24,Plymouth,MA,41.9,-70.6,1
797,06/11/24,Plymouth,MA,41.9,-70.6,1
798,06/11/24,Hagerman,ID,42.8,-114.9,1
799,06/11/24,Newcastle,ON,43.9,-78.6,1
800,06/11/24,Clearview,ON,44.3,-80.2,1
801,06/11/24,Highland,MI,44.2,-85.3,3
802,06/11/24,Shelton,CT,41.3,-73.1,1
803,06/11/24,Broomfield,CO,39.9,-105.1,1
804,06/11/24,Mississauga,ON,43.5,-79.7,1
805,06/10/24,Wanaque,NJ,41,-74.3,1
806,06/10/24,Tamworth,NH,43.8,-71.3,1
807,06/10/24,Snow Hill,MD,38.2,-75.4,1
808,06/10/24,Charlotte,NC,35.2,-80.8,1
809,06/10/24,Eagle Point,OR,42.4,-122.8,1
810,06/10/24,Woodland,CA,38.7,-121.8,2
811,06/10/24,Tridell,UT,40.4,-109.8,1
812,06/10/24,Cape May,NJ,38.9,-74.9,1
813,06/10/24,Stanardsville,VA,38.4,-78.5,1
814,06/10/24,Northport,NY,40.9,-73.3,1
815,06/10/24,Biddeford,ME,43.5,-70.5,1
816,06/10/24,Clarksville,MD,39.2,-76.9,1
817,06/10/24,Edwardsburg,MI,41.8,-86.1,1
818,06/10/24,Omaha,NE,41.3,-96,1
819,06/09/24,Autryville,NC,35,-78.7,1
820,06/09/24,Marietta,GA,34,-84.4,1
821,06/09/24,Jarrettsville,MD,39.6,-76.5,1
822,06/09/24,Lubec,ME,44.8,-67,1
823,06/09/24,Boise,ID,43.6,-116.3,1
824,06/09/24,Altonah,UT,40.4,-110.3,2
825,06/09/24,Shaw,OR,44.9,-122.9,1
826,06/09/24,Woodstock,GA,34.2,-84.4,1
827,06/09/24,Corvallis,OR,44.5,-123.3,1
828,06/09/24,Williamsburg,MA,42.4,-72.7,1
829,06/09/24,Catawba,VA,37.4,-80.1,1
830,06/09/24,Grants Pass,OR,42.6,-123.3,0
831,06/09/24,Chagrin Falls,OH,41.4,-81.3,1
832,06/08/24,Reynoldsburg,OH,40,-82.8,2
833,06/08/24,Fernley,NV,39.6,-119.2,1
834,06/08/24,Valley River,MB,51.2,-100.1,1
835,06/08/24,Ogden,UT,41.3,-112.1,1
836,06/08/24,Wellesley,MA,42.3,-71.3,0
837,06/08/24,Fulton,MD,39.2,-76.9,1
838,06/08/24,Winnipeg,MB,49.8,-97.1,1
839,06/08/24,Brigantine,NJ,39.4,-74.4,1
840,06/08/24,Naperville,IL,41.7,-88.1,1
841,06/08/24,Winston-Salem,NC,36.1,-80.3,1
842,06/08/24,Blairsville,PA,40.4,-79.3,1
843,06/08/24,Winchester,CT,41.9,-73.1,1
844,06/08/24,Heber City,UT,40.5,-111.4,1
845,06/08/24,Winchester,CT,41.9,-73.1,1
846,06/08/24,Meridian,ID,43.7,-116.4,1
847,06/08/24,Winchester,CT,41.9,-73.1,1
848,06/08/24,Mooresville,IN,39.6,-86.4,1
849,06/07/24,Greensburg,PA,40.3,-79.5,1
850,06/07/24,Savannah,GA,31.9,-81.1,1
851,06/07/24,Washington Township,NJ,39.8,-75.1,1
852,06/07/24,Little Egg Harbor Township,NJ,39.6,-74.3,1
853,06/07/24,Gainesville,GA,34.4,-83.9,1
854,06/07/24,Westhampton Beach,NY,40.8,-72.6,1
855,06/07/24,Regina,SK,50.4,-104.6,1
856,06/07/24,Middleton,ID,43.8,-116.6,2
857,06/07/24,Hayward,CA,37.7,-122.1,1
858,06/07/24,Morden,MB,49.2,-98.1,1
859,06/07/24,Winnipeg,MB,49.9,-97.2,1
860,06/07/24,Ogema,WI,45.4,-90.2,1
861,06/07/24,Oldtown,MD,39.6,-78.6,1
862,06/07/24,Oldtown,MD,39.6,-78.6,1
863,06/07/24,Oscoda,MI,44.4,-83.3,0
864,06/07/24,North Muskegon,MI,43.2,-86.3,1
865,06/06/24,Lancaster,PA,40.1,-76.4,1
866,06/06/24,Brigham City,UT,41.5,-112.3,1
867,06/06/24,Toronto,ON,43.6,-79.4,1
868,06/06/24,Richmond,VA,37.6,-77.6,1
869,06/06/24,Hillsboro,ND,47.4,-97.1,2
870,06/06/24,McMurray,PA,40.2,-80.1,2
871,06/06/24,Gardner,MA,42.6,-72,1
872,06/06/24,Dartmouth,NS,44.7,-63.5,0
873,06/06/24,Lansdowne,PA,39.9,-75.3,1
874,06/06/24,Marshall,MN,44.4,-95.8,2
875,06/06/24,Kawartha Lakes,ON,44.5,-78.5,8
876,06/06/24,Advocate Harbour,NS,45.4,-64.9,1
877,06/06/24,Grants Pass,OR,42.6,-123.3,0
878,06/06/24,Hamilton,ON,43.3,-79.9,1
879,06/06/24,Sarnia,ON,43,-82.4,1
880,06/06/24,Winnipeg,MB,49.9,-97.2,1
881,06/05/24,Tollesboro,KY,38.5,-83.5,1
882,06/05/24,Greater Sudbury,ON,46.6,-81,1
883,06/05/24,Hunts Point,NS,44,-64.7,1
884,06/05/24,Red Hook,NY,42,-73.9,1
885,06/05/24,Hyde Park,NY,41.8,-73.8,1
886,06/05/24,Paris,ME,44.2,-70.5,1
887,06/05/24,Chatham,ON,42.4,-82.2,1
888,06/05/24,Mattapoisett,MA,41.7,-70.8,1
889,06/05/24,Rough and Ready,CA,39.2,-121.2,1
890,06/05/24,Greeley,CO,40.4,-104.8,1
891,06/05/24,Schaumburg,IL,42,-88.1,1
892,06/05/24,Windsor,ON,42.2,-83.1,1
893,06/05/24,Falmouth,MA,41.6,-70.6,2
894,06/05/24,Valley,NS,45.4,-63.2,3
895,06/05/24,Watertown,SD,44.9,-96.9,2
896,06/05/24,Roy,UT,41.2,-112.1,1
897,06/05/24,Laurel,DE,38.5,-75.5,1
898,06/05/24,Upper Freehold,NJ,40.1,-74.5,1
899,06/05/24,Schaumburg,IL,42,-88.1,1
900,06/05/24,Greater Sudbury,ON,46.6,-81.2,1
901,06/05/24,Kaysville,UT,41,-111.9,1
902,06/05/24,Newport,KY,39.1,-84.5,1
903,06/04/24,Walpole,MA,42.2,-71.2,1
904,06/04/24,Richville,MN,46.4,-95.8,1
905,06/04/24,Spring City,PA,40.2,-75.5,1
906,06/04/24,London,ON,43,-81.3,1
907,06/04/24,Ipswich,MA,42.7,-70.9,1
908,06/04/24,Stockbridge,MA,42.3,-73.3,1
909,06/04/24,Grayslake,IL,42.4,-88,1
910,06/04/24,Hopewell Junction,NY,41.6,-73.7,1
911,06/04/24,Statesville,NC,35.9,-80.8,1
912,06/04/24,Highland,UT,40.4,-111.8,1
913,06/04/24,Sparks,NV,39.6,-119.7,1
914,06/04/24,Hanover,MA,42.1,-70.9,1
915,06/04/24,Richmond,VA,37.6,-77.5,1
916,06/04/24,Buckfield,NS,44.3,-64.8,1
917,06/04/24,Buckfield,NS,44.3,-64.8,1
918,06/04/24,Halifax,NS,44.6,-63.7,1
919,06/04/24,Halifax,NS,44.6,-63.6,1
920,06/04/24,Tweed,ON,44.5,-77.3,1
921,06/04/24,Andover,MN,45.2,-93.3,2
922,06/04/24,Franklin,TN,35.9,-86.9,0
923,06/04/24,Kittery,ME,43.1,-70.7,1
924,06/04/24,Florence,KY,39,-84.7,1
925,06/04/24,Hopewell Junction,NY,41.6,-73.8,1
926,06/04/24,Empire,MI,44.8,-86.1,1
927,06/04/24,Mildmay,ON,44.1,-81.1,2
928,06/04/24,Wallingford,CT,41.4,-72.8,1
929,06/04/24,Wilkerson,CA,37.3,-118.4,2
930,06/04/24,Arvada,CO,39.8,-105.1,1
